trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.59653983644463,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.041696692072094,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.64979920958278,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-26.934192717825574,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.79976580614266,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.25959854489724,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.74061533057755,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.5801566286569,"{0: 21, 1: 3, 2: 1, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.06448438311064,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.65041367971774,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.99674783787002,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.93706527946442,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.40064981951714,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.99793909280133,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.46720461855417,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-248.64123327765014,"{0: 12, 1: 1, 2: 13, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.40838963236377,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-268.2078170020397,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.21644837962089,"{0: 13, 1: 0, 2: 6, 3: 4, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,6,-74.85019233140925,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.73044168318495,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.23617620425856,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.98187062218588,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-203.30623174674855,"{0: 13, 1: 5, 2: 1, 3: 3, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.92846312010822,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.39019818011081,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.17889793645624,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,13,-82.29523049336933,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-286.55915452879964,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-66.09696889077709,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
